timestamp,piezo
70000,3
70010,2
70020,2
70030,3
70040,1
70050,1
70060,0
70070,4
70080,4
70090,0
70100,2
70110,1
70120,2
70130,2
70140,1
70150,1
70160,4
70170,3
70180,0
70190,0
70200,3
70210,4
70220,1
70230,2
70240,4
70250,1
70260,4
70270,3
70280,1
70290,2
70300,1
70310,1
70320,0
70330,2
70340,4
70350,1
70360,0
70370,1
70380,0
70390,0
70400,0
70410,0
70420,1
70430,0
70440,1
70450,2
70460,1
70470,4
70480,4
70490,1
70500,1
70510,2
70520,1
70530,4
70540,4
70550,3
70560,2
70570,1
70580,1
70590,3
70600,0
70610,0
70620,0
70630,0
70640,3
70650,1
70660,3
70670,1
70680,2
70690,2
70700,3
70710,3
70720,2
70730,3
70740,1
70750,3
70760,4
70770,2
70780,3
70790,2
