timestamp,piezo
150000,3
150010,0
150020,2
150030,1
150040,3
150050,0
150060,4
150070,2
150080,1
150090,0
150100,4
150110,0
150120,1
150130,0
150140,0
150150,1
150160,2
150170,2
150180,0
150190,0
150200,4
150210,2
150220,4
150230,1
150240,1
150250,1
150260,3
150270,3
150280,0
150290,3
150300,1
150310,4
150320,3
150330,2
150340,2
150350,3
150360,1
150370,0
150380,3
150390,1
150400,3
150410,1
150420,4
150430,2
150440,2
150450,1
150460,0
150470,4
150480,1
150490,2
150500,0
150510,3
150520,3
150530,2
150540,4
150550,1
150560,0
150570,3
150580,2
150590,4
150600,0
150610,2
150620,2
150630,2
150640,0
150650,0
150660,1
150670,4
150680,4
150690,3
150700,0
150710,3
150720,4
150730,3
150740,2
150750,4
150760,3
150770,0
150780,0
150790,4
